OSM_ID,Street_Name,Latitude,Longitude
44460984,1 Road,-29.9967674,30.9026716
44069711,10000 Street,-30.0516375,30.8249154
48706347,10003 Street,-30.0485969,30.8197574
802954343,10006 Street,-30.0550457,30.8248417
44069718,10009 Street,-30.0533869,30.8242916
44069717,10010 Street,-30.0539699,30.8241683
44069719,10011 Street,-30.0544716,30.8244474
44069735,10024 Street,-30.0550872,30.8192175
44069739,10027 Street,-30.0550845,30.8165487
44069741,10035 Street,-30.0584549,30.8161549
44069754,10043 Street,-30.0608727,30.8189969
44069757,10051 Street,-30.058553,30.82072
44069764,10054 Street,-30.056496,30.8213027
44070137,10055 Street,-30.0560158,30.8203559
44069761,10057 Street,-30.0566812,30.8263107
44069762,10058 Street,-30.0575378,30.8262815
44069774,10070 Street,-30.0605833,30.8273393
44069782,10081 Street,-30.059588,30.8284199
44069795,10082 Street,-30.0584874,30.8286117
44069796,10086 Street,-30.0602342,30.8286808
44069789,10088 Street,-30.057387,30.8315483
44069806,10091 Street,-30.0580901,30.8319951
44069808,10092 Street,-30.059924,30.8304534
44069809,10093 Street,-30.0605604,30.8303334
44069802,10094 Street,-30.0611906,30.8302439
44069803,10097 Street,-30.0609954,30.8318032
108797410,100th Street,-29.5780683,30.2011524
44069800,10103 Street,-30.0534078,30.8249522
44069797,10106 Street,-30.0614705,30.8366571
44069798,10107 Street,-30.0616584,30.8358416
44069812,10109 Street,-30.0623932,30.8363904
44069820,10111 Street,-30.064259,30.8365182
44069818,10112 Street,-30.062632,30.8355495
44069829,10119 Street,-30.0683012,30.8328633
44069832,10122 Street,-30.0677346,30.8337628
44069850,10140 Street,-30.0659971,30.8423379
44069852,10142 Street,-30.0700477,30.834824
44069853,10143 Street,-30.0707655,30.8375036
44069838,10144 Street,-30.0732996,30.8384085
44069837,10146 Street,-30.0704033,30.8397871
44069841,10147 Street,-30.0711175,30.8396704
44069845,10150 Street,-30.0653131,30.8393314
44069844,10151 Street,-30.0643417,30.8402421
44069847,10152 Street,-30.063891,30.8408966
44530375,10160 Street,-30.0623221,30.8395867
44069870,10165 Street,-30.0679694,30.8387399
44069871,10166 Street,-30.0689737,30.8387058
44069868,10167 Street,-30.0684726,30.8383537
44069869,10168 Street,-30.0632054,30.8375444
44215582,1017 Street,-29.9650452,30.8519359
44069866,10179 Street,-30.0732504,30.8349849
108797466,101st Street,-29.5779009,30.201591
44215574,1027 Street,-29.9630315,30.8582648
108797518,102nd Avenue,-29.5783213,30.1977561
44069854,10404 Street,-30.0565004,30.8288863
44069859,10409 Street,-30.0572733,30.8283789
44215575,1041 Street,-29.9646181,30.8464083
44069858,10410 Street,-30.057764,30.8297175
44069885,10412 Street,-30.0598132,30.833097
44069876,10414 Street,-30.0594005,30.8298269
44069878,10415 Street,-30.0700976,30.8361192
44069875,10416 Street,-30.0714857,30.8349756
48706348,10418 Street,-30.0513895,30.8203559
44069890,10451 Street,-30.0689316,30.8301916
44069901,10453 Street,-30.0692534,30.8284169
44069899,10456 Street,-30.0690485,30.8289629
44069900,10457 Street,-30.0686397,30.8291704
44069891,10458 Street,-30.0683739,30.827526
44069893,10459 Street,-30.0693054,30.8274736
44069894,10460 Street,-30.0695197,30.8290948
44069895,10461 Street,-30.0706176,30.8291705
44069897,10463 Street,-30.0679172,30.8263588
44069939,10464 Street,-30.0677247,30.8269441
44069937,10465 Street,-30.0673667,30.8272548
44069936,10466 Street,-30.0673616,30.8278591
44069933,10467 Street,-30.0671153,30.8282907
44069932,10468 Street,-30.0669075,30.8287581
44069929,10469 Street,-30.067042,30.8278156
44069924,10471 Street,-30.0656163,30.8275556
44069922,10472 Street,-30.0692361,30.8315925
44069914,10473 Street,-30.0687974,30.8314622
44069912,10474 Street,-30.0684339,30.8311432
44069911,10475 Street,-30.0686504,30.8308532
44069906,10478 Road,-30.0704813,30.8303341
44069905,10479 Street,-30.0711353,30.8305184
44069961,10480 Street,-30.071957,30.8308118
44069962,10481 Street,-30.0724161,30.8304839
808678642,10482 Street,-30.0725073,30.8317027
808678643,10483 Street,-30.0729515,30.8310838
44069956,10484 Street,-30.0738216,30.831655
44069954,10485 Street,-30.0708861,30.830107
44069955,10486 Street,-30.0737258,30.8321265
44069948,10487 Road,-30.0723279,30.8315414
44069950,10488 Street,-30.0726047,30.8314027
44069953,10489 Street,-30.0720805,30.8315046
44069944,10490 Street,-30.0701893,30.8322055
44069946,10491 Street,-30.0678061,30.8233134
44069941,10492 Street,-30.0655568,30.8244389
44069979,10493 Street,-30.0643393,30.825582
44069980,10494 Street,-30.0652249,30.8243399
44069981,10495 Street,-30.0643949,30.8235599
44069986,10496 Street,-30.064389,30.8230897
44069985,10498 Street,-30.0648432,30.823651
44069991,10499 Street,-30.065178,30.823512
108779985,104th Avenue,-29.5766582,30.1968704
44069990,10500 Street,-30.0655866,30.8234825
44069988,10501 Street,-30.0656749,30.8224694
44069989,10502 Street,-30.0644481,30.8218182
858906700,10503 Street,-30.0644763,30.8206201
44069996,10504 Street,-30.0649276,30.8207394
44069995,10505 Street,-30.0656573,30.8214131
44069992,10506 Street,-30.0663943,30.8218157
44069993,10507 Street,-30.0673115,30.8215954
44069963,10508 Street,-30.0672355,30.8215853
44069968,10509 Street,-30.0659231,30.8187003
44069967,10510 Road,-30.0652185,30.8226976
44069966,10511 Street,-30.0635022,30.8223128
44069964,10512 Street,-30.0635376,30.8214512
44069969,10516 Street,-30.06384,30.8241529
44069978,10517 Street,-30.0633908,30.8200873
44069977,10518 Street,-30.0631395,30.8203857
44069976,10519 Street,-30.0635873,30.8201859
44069974,10521 Street,-30.0632911,30.8195828
44070012,10524 Street,-30.0635553,30.8173062
858910418,10530 Street,-30.0647909,30.8126643
44070019,10531 Street,-30.062779,30.8138892
44070020,10532 Street,-30.0620151,30.8164808
44070026,10536 Street,-30.0616053,30.8148525
44070027,10537 Street,-30.0612258,30.8147487
44069998,10539 Street,-30.0620213,30.8131507
44070001,10541 Street,-30.0610071,30.8134563
44070004,10544 Street,-30.0587502,30.8142162
44070006,10546 Street,-30.0582097,30.8142553
44070009,10547 Street,-30.0595683,30.8142333
44070043,10549 Street,-30.0570149,30.8026466
44070041,10550 Street,-30.0593495,30.8110519
44070051,10553 Street,-30.0605824,30.8119083
44070047,10555 Street,-30.0632428,30.8182294
44070048,10556 Street,-30.0609516,30.8126933
43672434,105649 Street,-29.9158201,30.9219189
47711607,105670 Street,-29.7183599,30.9803521
47711587,105671 Street,-29.7183595,30.9800809
47711599,105672 Street,-29.7183313,30.9796116
47710939,105677 Street,-29.7204939,30.9822564
47710946,105678 Street,-29.7215157,30.981316
47711606,105679 Street,-29.718514,30.9806033
47711586,105680 Street,-29.7186604,30.9806899
47711602,105681 Street,-29.7190777,30.9810316
