OSM_ID,Street_Name,Latitude,Longitude,Category
44426964,Abafana Place,-29.9412504,30.9470143,English
43910986,Abaphaphi Close,-29.736166,30.9638075,English
44470406,Andrew Zondo Road,-30.0650198,30.8775767,English
43025860,Asigcini Close,-29.8572852,30.9433244,English
44215522,Asijiki Road,-29.969507,30.9048303,English
44099880,Asinamali Avenue,-29.8930293,30.847228,English
43752011,Asiphile Avenue,-29.7813553,30.9110506,English
44461050,Asiphile Lane,-30.0057603,30.8867393,English
44216333,Asisebenze Close,-29.9543708,30.9103736,English
44103458,Asizame Avenue,-29.8729545,30.8526738,English
185126370,B Gumede Street,-30.2658967,29.9341429,English
185126364,BJ Magojo Street,-30.2681161,29.9391035,English
44452066,Baba Nene Avenue,-30.0336646,30.8606125,English
48392990,Babanani Road,-29.5560852,31.1195556,English
438259546,Bakwethu Road,-29.7269511,30.9692937,English
44461014,Baluleka Close,-30.0006392,30.8919383,English
52083939,Bathakathi Street,-27.7801786,30.8284052,English
437313672,Bayede Street,-28.6234501,29.9062472,English
47711038,Bayeza Road,-29.7183956,30.9433928,English
44215516,Bekezela Avenue,-29.9492259,30.8614543,English
44215523,Bekezela Drive,-29.9551308,30.9192797,English
179338330,Bekezela Street,-28.1986273,30.1666961,English
118695462,Bekker Place,-29.59563,30.3916402,English
371324753,Benjane Street,-28.4307705,32.1450446,English
39812425,Biyela Street,-28.7394903,31.8905806,English
43910923,Bonakele Nxumalo Road,-29.745173,30.9697502,English
44103408,Boy Nxumalo Close,-29.872277,30.8670101,English
44215399,Boyi Simelane Avenue,-29.9770627,30.8635444,English
45242245,Boynes Road,-29.9053305,31.0323008,English
43910922,Boza Road,-29.7441521,30.9647747,English
47711993,Buzani Avenue,-29.7103399,30.9674233,English
47711876,Buzisisa Avenue,-29.7097424,30.9672159,English
47711761,Cebisa Avenue,-29.7159374,30.966067,English
124886931,Celukuthula Road,-29.7222838,30.9608207,English
43910749,Ceza Road,-29.7536475,30.9886818,English
706507026,Chakide Close,-29.7347189,30.9462307,English
43911004,Chakide Road,-29.7367959,30.9783073,English
179338283,Chakide Street,-28.201487,30.1599948,English
438008988,Chakijane Close,-29.7329958,30.945761,English
48076971,Chibi Lane,-29.7318703,30.8762749,English
44216236,Cwaka Avenue,-30.0031546,30.8847558,English
43911296,Cweba Road,-29.7424426,30.9997493,English
39739642,Dabula Street,-29.8530771,30.9613267,English
43911220,Dabulamanzi Road,-29.7389332,30.9967652,English
43910973,Dondolo Road,-29.7348597,30.9705746,English
108797404,Dube Road,-29.5665776,30.1786994,English
44214685,Fudu Lane,-29.9513421,30.8584004,English
43025796,Funda Avenue,-29.8621636,30.9498472,English
47710985,Gijima Road,-29.7177098,30.9451237,English
48392969,Gugulethu Avenue,-29.5528222,31.1189245,English
43910527,Gwababa Road,-29.7573232,30.9565133,English
44358796,Idwala Lane,-29.7749505,30.9291009,English
198051908,Igugu Street,-29.1366129,31.3951315,English
44427008,Igwalagwala Street,-29.9346819,30.9328942,English
