OSM_ID,Street_Name,Latitude,Longitude,Category
371755280,A3313 Road,-28.3942229,32.1683376,English
48143466,A3781 Road,-29.7069936,30.7400597,English
48143595,A3782 Road,-29.6968485,30.7282926,English
48143863,A3851 Road,-29.6736468,30.7828861,English
48143868,A3852 Road,-29.6920742,30.7728192,English
182198749,AP Smith Road,-29.678906,30.4434075,English
707226206,AS Pillay Drive,-29.5513825,30.4193227,English
379358675,AS319 Road,-28.0106765,32.1727552,English
118820928,Aalwyn Road,-29.6163291,30.3544404,English
44470211,Aarden Place,-30.026596,30.878577,English
327200225,Aardvark Road,-28.4270196,30.0008876,English
327200229,Aardwolf Road,-28.4874344,29.94718,English
45266891,Abadan Road,-29.8919404,31.0214874,English
44426964,Abafana Place,-29.9412504,30.9470143,English
43910986,Abaphaphi Close,-29.736166,30.9638075,English
179680071,Abatoir Street,-28.1915462,30.1560478,English
48094191,Abattoir Street,-29.6910763,30.6472523,English
46695851,Abbey Street,-29.7964226,30.9435141,English
45880542,Abbeyfern Close,-29.7135043,30.9872387,English
44102060,Abbot Francis Road,-29.8422,30.8262923,English
89249181,Abbot Road,-29.6371892,30.3876689,English
20099566,Abbots Gate Road,-29.8004028,30.7881797,English
44370295,Abbotsford Road,-29.8870661,30.9338566,English
54057395,Abbotts Way,-30.6678907,30.5097592,English
46695753,Abdale Place,-29.7898695,30.9374112,English
142751369,Abdims Avenue,-29.4747279,30.2408136,English
44099650,Abelia Avenue,-29.9108511,30.839711,English
42644295,Abelia Place,-29.8823162,30.8963262,English
38160308,Abelia Road,-29.8306411,30.9893419,English
45880261,Aberdare Drive,-29.7220357,30.9960583,English
44121385,Aberdeen Road,-29.7801922,30.8734277,English
41570864,Aberfeldy Road,-29.815181,30.9167082,English
41571077,Aberfoyle Road,-29.8061992,30.9244242,English
169709266,Aberfoyle Street,-29.3539472,30.001119,English
45880208,Abervale Road,-29.7071369,31.0016783,English
107228512,Abrams Drive,-30.3588413,30.7171009,English
58516379,Abrey Road,-29.7957657,30.8224128,English
41571161,Abroth Road,-29.8119201,30.9013981,English
44004222,Abu Govender Road,-29.5414153,31.1383214,English
41571072,Acacia Avenue,-29.833659,30.9106866,English
61032623,Acacia Close,-27.7774268,30.7768186,English
335225720,Acacia Drive,-29.5100575,31.2129047,English
58516445,Acacia Lane,-29.7731635,30.8844343,English
45094597,Acacia Place,-30.2096687,30.7676538,English
42896968,Acacia Road,-29.8393396,30.8513881,English
45668876,Acacia Street,-29.6547123,31.0051481,English
44003087,Acaciafield Close,-29.801923,30.9945821,English
327090564,Acaciawood Drive,-29.5587422,31.1871261,English
45881168,Acaciawood Place,-29.682922,31.0251105,English
45880699,Acara Street,-29.7233484,31.0124657,English
804780113,Acasia Canopy Street,-28.7505347,32.0587649,English
44102845,Access Road,-29.8797888,30.8439452,English
45881238,Achilles Place,-29.7039968,31.003424,English
859570850,Ackerman Road,-30.457471,30.6514739,English
118648423,Ackerman Street,-29.5964493,30.3788079,English
42897188,Acle Road,-29.8496829,30.8791273,English
