Street,Ground Truth,DTW Distance,Normalized DTW,Similarity,System Pitch,Ground Truth Pitch,System Duration,Ground Truth Duration,System Energy,Ground Truth Energy,PAS
Baphelabantu_Street,gt1.wav,15002.031164807877,174.4422228466032,0.0056998821821491,171.78622689090568,175.0513819140598,1.152,2.7375,0.1220938190817833,0.0517991296947002,0.5699882182149101
Baphelabantu_Street,gt2.wav,16841.74446099238,177.28152064202507,0.0056091062965966,171.78622689090568,165.77979934690975,1.152,3.015,0.1220938190817833,0.0463844761252403,0.56091062965966
Baphelabantu_Street,gt3.wav,28956.605179201943,256.25314317877826,0.0038872216978318,171.78622689090568,107.33552425691738,1.152,3.6,0.1220938190817833,0.0213672332465648,0.38872216978317997
Baphelabantu_Street,gt4.wav,21647.751474627832,178.9070369803953,0.0055584262671669,171.78622689090568,204.39905369352277,1.152,3.8475,0.1220938190817833,0.0440176241099834,0.5558426267166899
Baphelabantu_Street,gt5.wav,13545.064458245131,169.31330572806414,0.0058715318555126,171.78622689090568,236.2784898168946,1.152,2.52,0.1220938190817833,0.1300541907548904,0.5871531855512601
Baphelabantu_Street,gt6.wav,21248.660526740176,268.9703864144326,0.0037041099702872,171.78622689090568,124.88668490619806,1.152,2.52,0.1220938190817833,0.0194328464567661,0.37041099702872
Baphelabantu_Street,gt7.wav,17822.41451186434,178.22414511864338,0.0055796053558409,171.78622689090568,140.69403189928929,1.152,3.18,0.1220938190817833,0.0754412189126014,0.55796053558409
Chakide_Road,gt1.wav,20681.80589152352,198.86351818772613,0.0050034143753074,196.8043365176246,189.79011156368333,0.896,3.23,0.1768409162759781,0.0345892161130905,0.50034143753074
Chakide_Road,gt2.wav,23795.469741685483,216.3224521971408,0.0046014573730875,196.8043365176246,163.85222278275367,0.896,3.3575,0.1768409162759781,0.0438668876886367,0.46014573730874997
Chakide_Road,gt3.wav,18702.95983028838,267.1851404326911,0.0037287673671501,196.8043365176246,133.13879234544154,0.896,2.22,0.1768409162759781,0.0284571666270494,0.37287673671501
Chakide_Road,gt4.wav,15654.451087916515,195.68063859895648,0.0050843845491017,196.8043365176246,240.4455095170326,0.896,2.1,0.1768409162759781,0.0442576259374618,0.50843845491017
Chakide_Road,gt6.wav,18605.830317675525,265.7975759667932,0.0037481599912454,196.8043365176246,123.58821229300533,0.896,2.22,0.1768409162759781,0.0294930562376976,0.37481599912454
Dlangisa_Avenue,gt1.wav,17388.49262097798,199.86773127560895,0.0049784004312166,196.1114174039641,148.84659959980516,0.928,2.76,0.1972596794366836,0.0506669506430625,0.49784004312165997
Dlangisa_Avenue,gt2.wav,47697.7859225256,307.7276511130684,0.0032391008592675,196.1114174039641,164.44409429714923,0.928,4.93,0.1972596794366836,0.0056432825513184,0.32391008592675
Dlangisa_Avenue,gt3.wav,23623.37956078349,222.86207132814613,0.0044670363052888,196.1114174039641,161.90265829433082,0.928,3.3575,0.1972596794366836,0.0638670548796653,0.44670363052888
Dlangisa_Avenue,gt4.wav,38595.652160833175,292.39130424873616,0.0034084173099834,196.1114174039641,87.80182423479846,0.928,4.2,0.1972596794366836,0.0238200277090072,0.34084173099834
Dlangisa_Avenue,gt5.wav,19606.18167261769,257.97607463970644,0.0038613605576933,196.1114174039641,86.83265075188288,0.928,2.4,0.1972596794366836,0.0370908342301845,0.38613605576932997
Emthethweni_Road,gt1.wav,31370.30821474514,230.66403099077309,0.0043165958725799,187.6611035849469,132.25186394214882,1.024,4.32,0.1544255316257476,0.019589427858591,0.43165958725799003
Emthethweni_Road,gt2.wav,17145.960482688057,244.9422926098294,0.0040659944631256,187.6611035849469,94.59424674693186,1.024,2.22,0.1544255316257476,0.0522916913032531,0.40659944631256
Emthethweni_Road,gt3.wav,17436.232865040478,177.9207435208212,0.0055890668701789,187.6611035849469,183.94362422097643,1.024,3.1225,0.1544255316257476,0.0577016621828079,0.5589066870178899
Emthethweni_Road,gt4.wav,19423.90741331864,192.31591498335288,0.0051728798432664,187.6611035849469,170.73790845352343,1.024,3.2075,0.1544255316257476,0.0571032464504241,0.51728798432664
Ezalukazini_Avenue,gt1.wav,34769.23682544804,271.6346626988128,0.0036679121799883,198.61701659840764,168.50979215962408,1.2586875,4.095,0.2056404650211334,0.0062392493709921,0.36679121799883
Ezalukazini_Avenue,gt2.wav,20450.54274675144,213.0264869453275,0.0046723188997418,198.61701659840764,165.10646367411147,1.2586875,3.06,0.2056404650211334,0.0612454898655414,0.46723188997418
Ezalukazini_Avenue,gt3.wav,19146.186778560823,150.75737620914035,0.0065894655336019,198.61701659840764,155.11078862363044,1.2586875,4.06,0.2056404650211334,0.096128448843956,0.6589465533601899
Ezalukazini_Avenue,gt4.wav,21833.552003136043,239.92914289160487,0.0041505979226842,198.61701659840764,230.08444668447103,1.2586875,2.88,0.2056404650211334,0.0350595377385616,0.41505979226842
Ezalukazini_Avenue,gt5.wav,16698.109534240946,219.71196755580192,0.004530791923402,198.61701659840764,111.31108191097348,1.2586875,2.4,0.2056404650211334,0.0488127470016479,0.4530791923402
